"","theta","se.theta","total_score","ctt_sem","infitMNSQ","infitMNSQ.z","outfitMNSQ","outfitMNSQ.z"
"P71",1.05592780231815,0.464020667685026,18,2.12199359367338,1.14657000712755,0.762397265117394,1.11834520680423,0.481129435966154
"P72",2.63509199577087,0.747898039266055,23,2.12199359367338,1.07079108047962,0.314860714490599,1.99323882519319,1.22542506414404
"P73",0.282224473689825,0.425123076379847,14,2.12199359367338,0.907067608356981,-0.702761064674834,0.864464969182076,-0.797765547010736
"P74",2.63509199577087,0.747898039266055,23,2.12199359367338,1.07997566658571,0.329521988160004,2.01632327311154,1.24329834362019
"P75",0.652374299350856,0.43725742937127,16,2.12199359367338,0.983298662941063,-0.0607996062534712,0.891928670288357,-0.442552750597145
"P76",0.652374299350856,0.43725742937127,16,2.12199359367338,0.98905072965931,-0.0223734335801566,0.927472882088636,-0.268737618901506
"P77",0.848164480628992,0.448384577827096,17,2.12199359367338,1.05963129160908,0.396588012860013,1.0342698403324,0.217990020393611
"P78",0.102475217572884,0.423202498150708,13,2.12199359367338,0.832511205633819,-1.35623941430144,0.796174977080323,-1.37540469525889
"P79",1.28089097711618,0.485707574426576,19,2.12199359367338,1.06131319967128,0.331323751897119,1.1445947783323,0.509678840222895
"P80",-0.0766698934553978,0.42377517938875,12,2.12199359367338,1.06756750278212,0.547163505727673,1.04354518364329,0.333936491841243
"P81",0.102475217572884,0.423202498150708,13,2.12199359367338,1.12843534939722,1.01216403496879,1.11550473594885,0.77487363448698
"P82",0.848164480628992,0.448384577827096,17,2.12199359367338,1.05233950522006,0.355816804912992,0.941280370415477,-0.15063241194411
"P83",0.848164480628992,0.448384577827096,17,2.12199359367338,1.15429542933188,0.90968692041659,1.3245804300328,1.24297276413673
"P84",-0.25739715081477,0.426830263232319,11,2.12199359367338,0.822261190989184,-1.30173752501782,0.83347955585689,-1.05228250595256
