"","GCAPost8","GCAPost19","GCAPost13","GCAPost2","GCAPost7","GCAPost6","GCAPost1","GCAPost4","GCAPost16","GCAPost14","GCAPost25","GCAPost5","GCAPost12","GCAPost23","GCAPost11","GCAPost18","GCAPost21","GCAPost10","GCAPost22","GCAPost24","GCAPost17","GCAPost9","GCAPost15","GCAPost3","GCAPost20","total_score","outfitMNSQ","infitMNSQ"
"P1545",1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0.814206799863099,0.85598352859219
"P1554",0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,8,1.49347729151288,1.38412566342503
"P1567",1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,8,1.124137042054,1.02949993233954
"P1616",1,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0.900996356006142,0.977090092487624
"P1620",1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,8,1.04729114922444,0.998592641225357
"P1630",0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,8,0.978392894452103,1.01200758858345
"P1667",0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,8,0.84639412837696,0.884940533960244
"P41",1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,9,1.04798902920106,1.04967931370543
"P50",1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,9,1.05576320585316,1.05075497603413
"P132",1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,9,1.03932037157778,0.978632647501391
"P140",0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,9,1.1685564496515,1.17023789632802
"P223",1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,9,0.852815704642321,0.834247075944868
"P385",1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,9,1.00115945810198,1.03719001365685
"P386",0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,9,1.13961267737021,1.08577695257988
"P390",0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,9,1.16758165485517,1.03896822508966
"P443",1,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,9,1.16314896041387,1.15205892210816
"P492",1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,9,0.994242460638047,1.0142285753784
"P645",1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,9,1.02144275984355,0.959109275171216
"P653",1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,9,1.06302746695317,1.0378991026479
"P658",1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,9,1.18964186653983,1.1074230174323
"P702",1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,9,0.891419915108327,0.924559277180031
"P716",1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,9,1.16666583675266,1.13009697139177
"P741",1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,9,0.918464241576589,0.93449695613204
"P752",1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,9,1.07298575159581,1.02134948803793
"P753",1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,9,0.934787885720279,0.966712673978421
"P769",1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,9,0.891940902345233,0.911919390521948
"P801",0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,9,1.0544695142521,1.07603064870388
"P811",1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,9,1.32174054139258,1.22754510927549
"P826",1,1,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,9,0.780067625700583,0.827103902140233
"P828",1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0.780204721039418,0.816230892279931
"P839",1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,9,1.1391007556222,1.0990522664336
"P855",0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,9,1.18163501141172,1.11358892838808
"P860",1,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.746885258826796,0.815669078991484
"P882",0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,9,1.1314893999905,1.12078345323923
"P897",1,1,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,9,0.873616080626907,0.911527059637154
"P978",1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,9,1.16963801660579,1.10234058028732
"P1003",1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,9,1.18618617434345,1.07553767275441
"P1007",1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,9,0.939693278669832,0.90774360773156
"P1017",1,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,9,1.03317514724011,1.02731640575323
"P1022",1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,9,0.936191624119007,0.969022405825723
"P1247",0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,9,1.26987127273419,1.23205019292687
"P1499",1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,9,0.968494919182396,0.960221667431642
"P1533",0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,9,1.11012246899454,1.0888720149137
"P1561",1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0.803400310984087,0.794646800339574
"P1576",0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,9,1.22691864006125,1.17109670716641
"P1581",0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,9,1.18186073629733,1.17573949666647
"P1596",1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,9,1.02350088123432,0.99131163883495
"P1658",1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,9,0.958773443955223,0.949504511779054
"P2",0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,10,1.1457060877249,1.1394053922005
"P7",1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,10,1.05013035784368,1.05013183538099
"P18",1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0.725520093133789,0.772862874734876
"P32",1,1,0,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,10,0.910264769396405,0.923342824974759
"P59",1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,10,0.801485731943694,0.85023931056666
"P63",0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,10,1.33607903449912,1.2723579963665
"P70",1,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,10,1.04582022415092,1.06982226904036
"P99",1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,10,0.840991038018004,0.871239547614766
"P100",1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,10,0.823733634664737,0.803472357101669
"P119",1,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,10,1.01349310605009,1.02705050770213
"P133",1,1,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,10,0.892037420821133,0.905456350188986
"P138",1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,10,0.830643651498733,0.830337054669438
"P152",1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,10,0.856242275379331,0.877390096207215
"P367",1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,10,1.00621169086704,1.02731645228264
"P397",1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,10,0.978034877820945,1.01418935443966
"P470",1,0,1,1,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,10,0.833415537410554,0.879080095123967
"P659",1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,10,0.957170029018409,0.959761908664704
"P675",1,1,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,10,0.839344642085514,0.875301226067104
"P684",1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,10,0.956177774626075,0.956511742345093
"P690",1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,10,0.857139266870628,0.857233722126914
"P697",1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,10,0.989788026080775,0.99863223945783
"P699",1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,10,0.999676726838526,0.99257590489939
"P705",1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,10,0.844553188716317,0.824690072058666
